Заправки,период,Объем реализации - собственный,бензин,   автобензин А92/93,   автобензин А95/96,   автобензин А98,    - дизельное топливо,     дизельное топливо зимнее,Выручка от реализации - всего,нефтепродукты,    - бензин,   автобензин А92/93,   автобензин А95/96,   автобензин А98,    - дизельное топливо,     дизельное топливо зимнее,сопутствующие товары,Налоги в выручке - НДС,нефтепродукты,    - бензин,   автобензин А92/93,   автобензин А95/96,   автобензин А98,    - дизельное топливо,     дизельное топливо зимнее,сопутствующие товары,Выручка без налогов и бонусов,нефтепродукты,    - бензин,   автобензин А92/93,   автобензин А95/96,   автобензин А98,    - дизельное топливо,     дизельное топливо зимнее,сопутствующие товары,Покупная стоимость - всего,нефтепродукты,    - бензин,   автобензин А92/93,   автобензин А95/96,   автобензин А98,    - дизельное топливо,     дизельное топливо зимнее,сопутствующие товары,Валовой доход - всего,нефтепродукты,    - бензин,   автобензин А92/93,   автобензин А95/96,   автобензин А98,    - дизельное топливо,     дизельное топливо зимнее,сопутствующие товары
АЗС-264,012017,403.0,140.8,81.7,59.1,0.0,262.3,262.3,20447,19903,6719,3751,2968,,13184,13184,544,3114,3036,1025,572,453,,2011,2011,78,17332,16867,5694,3179,2515,,11173,11173,466,13891,13522,4798,2718,2080,,8724,8724,370,3441,3345,896,461,436,,2449,2449,96
АЗС-265,012017,341.4,283.9,135.8,141.1,2.1,57.5,57.5,16557,16367,13833,6344,7141,124,2534,2534,189,2525,2497,2110,968,1089,19,387,387,29,14031,13870,11723,5376,6051,105,2147,2147,161,11791,11658,9751,4530,4972,88,1907,1907,133,2240,2212,1972,846,1080,16,240,240,28
АЗС-5,012017,273.8,219.0,77.5,141.5,0.0,54.8,54.8,13210,13197,10844,3634,7210,,2353,2353,13,2015,2013,1654,554,1100,,359,359,2,11195,11184,9190,3080,6110,,1994,1994,11,9384,9377,7566,2581,4985,,1811,1811,8,1810,1807,1624,499,1125,,183,183,3
АЗСМ-12,012017,128.2,104.7,31.2,73.6,0.0,23.5,23.5,6277,6245,5214,1457,3758,,1031,1031,32,958,952,795,222,573,,157,157,5,5320,5293,4419,1234,3184,,874,874,28,4430,4410,3635,1039,2596,,775,775,20,890,882,784,196,589,,98,98,8
КАЗС-2,012017,94.8,94.8,52.1,42.7,0.0,0.0,0.0,4524,4524,4524,2394,2129,,,,0,690,690,690,365,325,,,,0,3834,3834,3834,2029,1804,,,,,3241,3241,3241,1736,1505,,,,0,592,592,592,293,300,,,,
АЗC-200,022017,240.0,193.2,81.4,111.8,0.0,46.8,46.8,11942,11538,9431,3821,5610,,2107,2107,404,1821,1760,1439,583,856,,321,321,61,10121,9779,7993,3238,4754,,1786,1786,343,8557,8286,6705,2757,3949,,1581,1581,271,1564,1492,1287,482,805,,205,205,72
АЗК-1,022017,817.7,658.7,198.8,450.0,9.9,159.0,159.0,41105,39789,32777,9396,22798,584,7012,7012,1316,6267,6070,5000,1433,3478,89,1070,1070,197,34839,33721,27778,7963,19320,495,5943,5943,1118,29314,28424,23033,6726,15886,421,5391,5391,890,5524,5296,4744,1237,3434,74,552,552,228
АЗК-10,022017,932.5,808.4,270.3,529.6,8.5,124.1,124.1,46013,44924,39438,12524,26409,505,5486,5486,1089,7016,6853,6016,1910,4029,77,837,837,163,38997,38071,33422,10613,22381,428,4649,4649,926,33158,32422,28222,9156,18703,364,4200,4200,736,5839,5649,5200,1458,3678,65,449,449,191
АЗК-11,022017,265.8,175.6,68.1,99.6,4.7,90.2,90.2,13080,12580,8672,3178,5067,282,3908,3908,500,1993,1919,1323,485,773,43,596,596,74,11087,10661,7349,2693,4294,239,3312,3312,426,9521,9174,6120,2300,3517,199,3054,3054,347,1566,1487,1229,393,778,40,258,258,79
АЗК-13,022017,321.9,234.5,99.2,133.5,1.8,87.4,87.4,16008,15284,11461,4639,6715,106,3823,3823,724,2440,2331,1748,708,1024,16,583,583,109,13568,12952,9712,3932,5691,90,3240,3240,615,11578,11087,8146,3356,4714,76,2941,2941,492,1990,1866,1567,576,977,13,299,299,124
